year,week_of_year,calls_offered_last_year,calls_offered_avg_last_year,year,week_of_year,calls_handled,calls_abandoned,avg_speed_answer,avg_handle_time,avg_talk,avg_acw,service_level,avg_abandon_time,max_wait_time,day_of_year,day_of_week,calls_offered_last_year,calls_offered_avg_last_year,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,week_day_Monday,week_day_Saturday,week_day_Sunday,week_day_Thursday,week_day_Tuesday,week_day_Wednesday,calls_offered_actual,calls_offered_predicted
2023,30,1245.0,1205.7115384615386,2023,30,1119.0,44.0,58.5,591.5,514.5,76.635,0.8761,185.0,646.5,208,3,1245.0,1205.7115384615386,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,1171.0,1172.701697528089
2022,5,0.0,0.0,2022,5,1713.0,92.0,86.5,621.0,553.0,67.575,81.77,128.5,570.0,24,0,0.0,0.0,False,False,False,True,False,False,False,False,False,False,False,True,False,False,False,False,False,1819.0,1818.518179258956
2023,3,1125.0,1438.5961538461538,2023,3,1296.0,11.0,24.5,553.5,467.5,85.58,97.36,36.5,506.0,17,1,1125.0,1438.5961538461538,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,1325.0,1318.7050308084144
2022,21,0.0,0.0,2022,21,1000.0,19.0,46.5,584.0,507.0,77.175,93.87,226.0,904.0,140,4,0.0,0.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,1028.0,1027.1870337241874
2023,15,0.0,1358.25,2023,15,1282.0,12.0,27.5,545.0,480.5,64.725,95.87,58.0,383.0,100,0,0.0,1358.25,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1305.0,1307.8938180704167
2022,11,0.0,0.0,2022,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71,5,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,False,True,False,False,False,False,0.0,0.7159068554168755
2023,26,1021.0,1110.923076923077,2023,26,704.0,3.0,30.0,562.0,471.0,91.44,0.9549,10.0,650.5,181,4,1021.0,1110.923076923077,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,711.0,712.8757160044693
2022,17,0.0,0.0,2022,17,1580.0,13.0,30.0,619.0,533.0,86.335,95.07,43.0,400.0,108,0,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,1604.0,1606.399102149906
2023,34,0.0,0.0,2023,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232,6,0.0,0.0,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,0.0,-0.30783560889599926
2024,27,819.0,1127.826923076923,2024,27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184,1,819.0,1127.826923076923,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,0.0,-0.6088301448247364
